group,kind,n,pass_rate,mean_score,mean_iters,mean_tokens,mean_prompt_tokens,mean_completion_tokens,mean_cost_usd,total_cost_usd,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,tokens_per_sec,cedar_denied,executor_refused,violations_prevented
T1,reflect,4,1.0000,2.7500,1.75,3737.2,1595.0,2142.2,0.038548,0.154194,37443.25,32488.00,60000.00,60000.00,99.81,0,1,1
T1,task,10,1.0000,1.0000,6.50,9917.3,7133.5,2783.8,0.092504,0.925040,108642.90,120000.00,120002.00,120002.00,91.28,0,0,0
T2,reflect,10,1.0000,3.4000,2.20,4699.6,2476.9,2222.7,0.047088,0.470876,49920.20,57032.00,60001.00,60001.00,94.14,0,5,5
T2,task,10,1.0000,1.0000,13.80,21010.8,16936.9,4073.9,0.056578,0.565782,61188.70,84068.00,106455.00,106455.00,343.38,0,0,0
T3,reflect,9,0.8889,3.4444,1.89,3622.7,1750.8,1871.9,0.044498,0.400478,49270.22,58816.00,60001.00,60001.00,73.53,0,3,3
T3,task,10,1.0000,1.0000,11.20,16865.2,12830.5,4034.7,0.064435,0.644349,67412.60,88976.00,120001.00,120001.00,250.18,0,0,0
T4,reflect,9,0.8889,3.6667,1.67,3995.0,2424.9,1570.1,0.047766,0.429895,51053.78,60000.00,60001.00,60001.00,78.25,0,2,2
T4,task,10,1.0000,1.0000,16.50,29324.7,24598.0,4726.7,0.080413,0.804131,86481.40,93647.00,120001.00,120001.00,339.09,0,0,0
T5,task,10,1.0000,1.0000,0.00,0.0,0.0,0.0,0.108237,1.082373,120000.60,120001.00,120002.00,120002.00,0.00,0,0,0
